18:00 - 18:10,0.48,0.40,0.56
18:10 - 18:20,0.62,0.33,0.92
18:20 - 18:30,0.77,0.57,0.98
18:30 - 18:40,0.64,0.55,0.74
18:40 - 18:50,0.82,0.84,0.79
18:50 - 19:00,0.81,0.89,0.72
19:00 - 19:10,1.97,1.79,2.15
19:10 - 19:20,5.05,4.10,6.03
19:20 - 19:30,5.95,4.84,7.11
19:30 - 19:40,5.97,4.77,7.22
19:40 - 19:50,5.37,4.01,6.79
19:50 - 20:00,4.36,2.95,5.83
20:00 - 20:10,6.58,4.83,8.41
20:10 - 20:20,7.33,5.60,9.13
20:20 - 20:30,7.42,5.71,9.21
20:30 - 20:40,6.93,5.33,8.61
20:40 - 20:50,4.75,3.55,6.01
20:50 - 21:00,5.92,4.44,7.48
21:00 - 21:10,6.30,4.55,8.14
21:10 - 21:20,7.04,4.86,9.32
21:20 - 21:30,6.38,4.22,8.64
21:30 - 21:40,5.22,3.87,6.62
21:40 - 21:50,1.63,1.24,2.05
21:50 - 22:00,1.82,1.37,2.29
22:00 - 22:10,1.85,1.56,2.16
22:10 - 22:20,1.57,1.32,1.83
22:20 - 22:30,1.55,1.15,1.97
22:30 - 22:40,0.87,0.55,1.20
22:40 - 22:50,1.32,1.01,1.65
22:50 - 23:00,1.61,1.04,2.21
