18:00 - 18:10,1.8,1.2,2.4
18:10 - 18:20,2.2,1.5,2.8
18:20 - 18:30,3.5,3.0,4.0
18:30 - 18:40,5.9,5.3,6.4
18:40 - 18:50,6.4,5.8,7.0
18:50 - 19:00,7.0,6.3,7.8
19:00 - 19:10,9.2,8.4,10.0
19:10 - 19:20,6.5,5.7,7.3
19:20 - 19:30,6.0,5.2,6.8
19:30 - 19:40,6.7,5.8,7.6
19:40 - 19:50,7.2,5.5,8.9
19:50 - 20:00,6.5,4.7,8.4
20:00 - 20:10,6.0,4.6,7.4
20:10 - 20:20,5.9,5.2,6.6
20:20 - 20:30,6.4,5.9,6.9
20:30 - 20:40,7.0,6.4,7.7
20:40 - 20:50,3.4,3.0,3.8
20:50 - 21:00,2.9,2.8,3.0
21:00 - 21:10,1.8,1.8,1.7
21:10 - 21:20,1.0,1.1,0.9
21:20 - 21:30,1.5,1.3,1.7
21:30 - 21:40,1.7,1.5,1.9
21:40 - 21:50,1.8,1.4,2.2
21:50 - 22:00,1.9,1.6,2.3
22:00 - 22:10,2.9,2.8,3.1
22:10 - 22:20,2.8,2.8,2.7
22:20 - 22:30,3.1,3.2,3.0
22:30 - 22:40,3.1,3.5,2.8
22:40 - 22:50,2.0,2.4,1.7
22:50 - 23:00,2.4,2.7,2.1
23:00 - 23:10,2.6,2.8,2.5
23:10 - 23:20,2.1,2.2,2.0
23:20 - 23:30,1.9,2.2,1.7
23:30 - 23:40,2.0,2.3,1.8
23:40 - 23:50,1.7,2.1,1.3
23:50 - 24:00,1.8,2.1,1.4
