18:00 - 18:10,0.77,0.66,0.88
18:10 - 18:20,0.78,0.74,0.82
18:20 - 18:30,1.03,0.96,1.11
18:30 - 18:40,0.81,0.76,0.87
18:40 - 18:50,0.84,0.78,0.91
18:50 - 19:00,0.68,0.61,0.76
19:00 - 19:10,2.07,1.61,2.55
19:10 - 19:20,6.32,4.92,7.78
19:20 - 19:30,7.54,5.72,9.44
19:30 - 19:40,8.03,5.98,10.16
19:40 - 19:50,5.72,3.89,7.64
19:50 - 20:00,6.64,4.70,8.67
20:00 - 20:10,8.56,6.23,11.00
20:10 - 20:20,8.73,6.35,11.21
20:20 - 20:30,8.76,6.36,11.26
20:30 - 20:40,5.76,4.20,7.39
20:40 - 20:50,7.17,5.35,9.06
20:50 - 21:00,8.29,6.00,10.68
21:00 - 21:10,8.96,6.40,11.62
21:10 - 21:20,9.20,6.53,11.99
21:20 - 21:30,3.80,2.45,5.21
21:30 - 21:40,2.41,1.94,2.90
21:40 - 21:50,2.27,1.95,2.60
21:50 - 22:00,2.14,1.90,2.39
22:00 - 22:10,2.24,1.91,2.59
22:10 - 22:20,1.94,1.66,2.24
22:20 - 22:30,1.51,1.42,1.60
22:30 - 22:40,1.74,1.68,1.80
22:40 - 22:50,1.85,1.71,1.99
22:50 - 23:00,1.68,1.56,1.79
