18:00 - 18:10,5.63,5.20,6.09
18:10 - 18:20,6.76,6.41,7.13
18:20 - 18:30,8.23,8.13,8.34
18:30 - 18:40,9.46,10.04,8.86
18:40 - 18:50,11.09,11.60,10.56
18:50 - 19:00,13.68,13.47,13.89
19:00 - 19:10,11.28,11.04,11.54
19:10 - 19:20,6.95,6.94,6.97
19:20 - 19:30,7.13,7.51,6.73
19:30 - 19:40,8.25,8.65,7.84
19:40 - 19:50,7.94,7.82,8.07
19:50 - 20:00,6.23,5.84,6.65
20:00 - 20:10,5.56,5.78,5.33
20:10 - 20:20,6.32,6.65,5.98
20:20 - 20:30,6.23,6.44,6.01
20:30 - 20:40,6.14,6.34,5.94
20:40 - 20:50,3.82,3.58,4.06
20:50 - 21:00,5.37,5.45,5.29
21:00 - 21:10,5.55,5.58,5.52
21:10 - 21:20,5.52,5.41,5.63
21:20 - 21:30,3.51,3.09,3.96
21:30 - 21:40,2.83,2.51,3.17
21:40 - 21:50,3.39,3.09,3.71
21:50 - 22:00,3.99,3.52,4.47
22:00 - 22:10,4.03,3.47,4.62
22:10 - 22:20,3.00,2.40,3.64
22:20 - 22:30,2.66,2.38,2.95
22:30 - 22:40,1.52,1.20,1.87
22:40 - 22:50,0.98,0.68,1.28
22:50 - 23:00,1.08,0.90,1.27
