18:00 - 18:10,0.38,0.20,0.56
18:10 - 18:20,0.52,0.38,0.66
18:20 - 18:30,0.36,0.28,0.43
18:30 - 18:40,0.33,0.18,0.48
18:40 - 18:50,0.24,0.16,0.32
18:50 - 19:00,0.28,0.11,0.45
19:00 - 19:10,0.42,0.25,0.59
19:10 - 19:20,0.56,0.47,0.67
19:20 - 19:30,0.63,0.53,0.74
19:30 - 19:40,0.44,0.23,0.67
19:40 - 19:50,0.64,0.49,0.79
19:50 - 20:00,0.84,0.80,0.89
20:00 - 20:10,0.46,0.35,0.57
20:10 - 20:20,0.31,0.31,0.31
20:20 - 20:30,0.18,0.11,0.26
20:30 - 20:40,0.18,0.15,0.21
20:40 - 20:50,0.16,0.13,0.20
20:50 - 21:00,0.13,0.09,0.17
21:00 - 21:10,0.42,0.46,0.36
21:10 - 21:20,0.36,0.41,0.32
21:20 - 21:30,0.11,0.19,0.02
21:30 - 21:40,0.02,0.05,0.00
21:40 - 21:50,0.00,0.00,0.00
21:50 - 22:00,0.00,0.00,0.00
22:00 - 22:10,0.00,0.00,0.00
22:10 - 22:20,0.01,0.00,0.02
22:20 - 22:30,0.00,0.00,0.00
22:30 - 22:40,0.00,0.00,0.00
22:40 - 22:50,0.02,0.00,0.04
22:50 - 23:00,0.00,0.00,0.00
