18:00 - 18:10,0.66,0.90,0.41
18:10 - 18:20,0.79,1.06,0.51
18:20 - 18:30,0.82,0.96,0.69
18:30 - 18:40,0.38,0.26,0.50
18:40 - 18:50,0.28,0.03,0.54
18:50 - 19:00,0.31,0.17,0.45
19:00 - 19:10,0.92,0.72,1.12
19:10 - 19:20,1.48,1.40,1.56
19:20 - 19:30,1.35,1.33,1.37
19:30 - 19:40,0.90,1.04,0.76
19:40 - 19:50,0.47,0.56,0.38
19:50 - 20:00,0.12,0.12,0.12
20:00 - 20:10,0.23,0.29,0.17
20:10 - 20:20,0.19,0.22,0.17
20:20 - 20:30,0.30,0.46,0.14
20:30 - 20:40,0.37,0.57,0.15
20:40 - 20:50,0.44,0.58,0.29
20:50 - 21:00,0.29,0.33,0.24
21:00 - 21:10,0.47,0.39,0.54
21:10 - 21:20,0.35,0.45,0.25
21:20 - 21:30,0.53,0.65,0.40
21:30 - 21:40,1.06,1.51,0.59
21:40 - 21:50,1.39,1.99,0.76
21:50 - 22:00,1.47,2.15,0.76
22:00 - 22:10,1.62,2.52,0.67
22:10 - 22:20,1.49,2.63,0.29
22:20 - 22:30,1.31,2.43,0.14
22:30 - 22:40,1.21,2.26,0.11
22:40 - 22:50,1.72,3.11,0.28
22:50 - 23:00,2.01,3.72,0.23
