18:00 - 18:10,2.8,2.1,3.6
18:10 - 18:20,2.0,1.5,2.5
18:20 - 18:30,2.3,1.7,2.9
18:30 - 18:40,1.9,1.4,2.3
18:40 - 18:50,1.7,1.3,2.1
18:50 - 19:00,1.5,1.1,1.9
19:00 - 19:10,1.1,0.6,1.6
19:10 - 19:20,3.5,2.6,4.4
19:20 - 19:30,4.2,3.2,5.2
19:30 - 19:40,4.4,3.4,5.5
19:40 - 19:50,3.3,2.4,4.2
19:50 - 20:00,2.7,1.5,4.0
20:00 - 20:10,4.3,2.9,5.8
20:10 - 20:20,4.7,3.2,6.3
20:20 - 20:30,4.9,3.5,6.3
20:30 - 20:40,4.5,3.2,5.9
20:40 - 20:50,3.3,2.2,4.5
20:50 - 21:00,5.1,3.9,6.3
21:00 - 21:10,5.8,4.4,7.3
21:10 - 21:20,5.8,4.4,7.1
21:20 - 21:30,4.9,3.5,6.4
21:30 - 21:40,1.9,1.7,2.1
21:40 - 21:50,2.5,2.2,2.7
21:50 - 22:00,3.1,3.2,3.0
22:00 - 22:10,2.5,2.6,2.3
22:10 - 22:20,2.8,3.0,2.6
22:20 - 22:30,2.2,2.5,2.0
22:30 - 22:40,2.0,2.2,1.7
22:40 - 22:50,2.3,2.4,2.1
22:50 - 23:00,1.9,2.0,1.7
23:00 - 23:10,1.9,2.0,1.8
23:10 - 23:20,2.0,1.9,2.0
23:20 - 23:30,1.4,1.4,1.4
23:30 - 23:40,1.3,1.4,1.2
23:40 - 23:50,1.4,1.5,1.3
23:50 - 24:00,1.3,1.4,1.2
