18:00 - 18:10,0.17,0.17,0.16
18:10 - 18:20,0.14,0.05,0.24
18:20 - 18:30,0.04,0.08,0.00
18:30 - 18:40,0.02,0.04,0.00
18:40 - 18:50,0.00,0.00,0.00
18:50 - 19:00,0.05,0.09,0.00
19:00 - 19:10,0.08,0.14,0.02
19:10 - 19:20,0.12,0.21,0.02
19:20 - 19:30,0.05,0.09,0.02
19:30 - 19:40,0.06,0.13,0.00
19:40 - 19:50,0.05,0.10,0.00
19:50 - 20:00,0.02,0.04,0.00
20:00 - 20:10,0.07,0.13,0.01
20:10 - 20:20,0.09,0.18,0.00
20:20 - 20:30,0.19,0.33,0.04
20:30 - 20:40,0.19,0.37,0.00
20:40 - 20:50,0.33,0.61,0.04
20:50 - 21:00,0.19,0.38,0.00
21:00 - 21:10,0.09,0.08,0.09
21:10 - 21:20,0.07,0.07,0.07
21:20 - 21:30,0.06,0.10,0.02
21:30 - 21:40,0.00,0.00,0.00
21:40 - 21:50,0.03,0.03,0.03
21:50 - 22:00,0.02,0.03,0.00
22:00 - 22:10,0.01,0.00,0.02
22:10 - 22:20,0.16,0.16,0.16
22:20 - 22:30,0.14,0.15,0.12
22:30 - 22:40,0.00,0.00,0.00
22:40 - 22:50,0.00,0.00,0.00
22:50 - 23:00,0.10,0.05,0.14
