18:00 - 18:10,5.13,5.17,5.08
18:10 - 18:20,6.09,5.92,6.27
18:20 - 18:30,6.43,6.08,6.79
18:30 - 18:40,7.65,7.85,7.44
18:40 - 18:50,8.76,9.06,8.44
18:50 - 19:00,10.18,10.44,9.90
19:00 - 19:10,9.15,9.20,9.09
19:10 - 19:20,6.21,6.24,6.18
19:20 - 19:30,7.13,7.45,6.79
19:30 - 19:40,6.47,6.46,6.47
19:40 - 19:50,4.29,4.16,4.42
19:50 - 20:00,5.09,5.28,4.89
20:00 - 20:10,5.59,5.99,5.18
20:10 - 20:20,5.63,5.85,5.40
20:20 - 20:30,4.58,4.53,4.64
20:30 - 20:40,3.66,3.44,3.89
20:40 - 20:50,5.14,5.39,4.88
20:50 - 21:00,5.76,6.17,5.33
21:00 - 21:10,5.52,5.71,5.32
21:10 - 21:20,5.63,5.65,5.61
21:20 - 21:30,3.17,2.89,3.46
21:30 - 21:40,3.43,3.18,3.69
21:40 - 21:50,3.45,3.28,3.62
21:50 - 22:00,4.08,4.00,4.16
22:00 - 22:10,3.97,3.69,4.27
22:10 - 22:20,2.76,2.64,2.88
22:20 - 22:30,2.19,2.08,2.31
22:30 - 22:40,1.16,1.15,1.17
22:40 - 22:50,0.67,0.69,0.64
22:50 - 23:00,0.60,0.58,0.62
