18:00 - 18:10,0.71,0.67,0.75
18:10 - 18:20,0.41,0.33,0.50
18:20 - 18:30,0.50,0.47,0.52
18:30 - 18:40,0.56,0.49,0.64
18:40 - 18:50,0.68,0.64,0.73
18:50 - 19:00,0.73,0.73,0.72
19:00 - 19:10,0.92,0.93,0.91
19:10 - 19:20,1.15,1.25,1.05
19:20 - 19:30,1.27,1.07,1.49
19:30 - 19:40,1.66,1.24,2.10
19:40 - 19:50,1.97,1.76,2.18
19:50 - 20:00,1.11,0.91,1.32
20:00 - 20:10,1.47,1.36,1.59
20:10 - 20:20,1.68,1.42,1.95
20:20 - 20:30,1.44,1.14,1.76
20:30 - 20:40,1.55,1.06,2.07
20:40 - 20:50,1.22,0.76,1.70
20:50 - 21:00,1.55,1.22,1.88
21:00 - 21:10,1.11,1.07,1.15
21:10 - 21:20,1.29,1.20,1.39
21:20 - 21:30,1.18,1.07,1.30
21:30 - 21:40,1.00,0.72,1.30
21:40 - 21:50,0.88,0.51,1.26
21:50 - 22:00,1.09,0.63,1.57
22:00 - 22:10,1.44,1.20,1.68
22:10 - 22:20,1.00,1.11,0.89
22:20 - 22:30,0.87,0.89,0.85
22:30 - 22:40,0.75,0.50,1.01
22:40 - 22:50,0.38,0.24,0.53
22:50 - 23:00,0.42,0.27,0.58
