18:00 - 18:10,0.23,0.16,0.30
18:10 - 18:20,0.26,0.17,0.35
18:20 - 18:30,0.27,0.22,0.33
18:30 - 18:40,0.21,0.18,0.23
18:40 - 18:50,0.19,0.15,0.22
18:50 - 19:00,0.23,0.23,0.22
19:00 - 19:10,0.15,0.19,0.11
19:10 - 19:20,0.51,0.56,0.46
19:20 - 19:30,0.71,0.73,0.70
19:30 - 19:40,0.73,0.67,0.78
19:40 - 19:50,0.98,0.97,0.98
19:50 - 20:00,0.55,0.47,0.63
20:00 - 20:10,0.57,0.55,0.59
20:10 - 20:20,0.43,0.47,0.39
20:20 - 20:30,0.46,0.46,0.45
20:30 - 20:40,0.27,0.31,0.22
20:40 - 20:50,0.26,0.29,0.24
20:50 - 21:00,0.35,0.42,0.27
21:00 - 21:10,0.49,0.59,0.38
21:10 - 21:20,0.41,0.45,0.37
21:20 - 21:30,0.33,0.37,0.28
21:30 - 21:40,0.30,0.31,0.29
21:40 - 21:50,0.34,0.36,0.31
21:50 - 22:00,0.34,0.38,0.31
22:00 - 22:10,0.26,0.27,0.25
22:10 - 22:20,0.30,0.27,0.32
22:20 - 22:30,0.23,0.28,0.18
22:30 - 22:40,0.27,0.32,0.21
22:40 - 22:50,0.29,0.38,0.20
22:50 - 23:00,0.21,0.25,0.17
