18:00 - 18:10,0.57,0.64,0.49
18:10 - 18:20,1.03,1.22,0.83
18:20 - 18:30,1.21,1.48,0.93
18:30 - 18:40,1.30,1.69,0.90
18:40 - 18:50,1.31,1.75,0.86
18:50 - 19:00,1.06,1.41,0.70
19:00 - 19:10,0.67,0.96,0.37
19:10 - 19:20,0.69,0.89,0.48
19:20 - 19:30,0.68,0.80,0.56
19:30 - 19:40,0.62,0.74,0.50
19:40 - 19:50,1.17,1.47,0.85
19:50 - 20:00,1.29,1.40,1.17
20:00 - 20:10,1.55,1.73,1.35
20:10 - 20:20,1.40,1.60,1.18
20:20 - 20:30,0.84,0.99,0.68
20:30 - 20:40,1.33,1.44,1.22
20:40 - 20:50,1.48,1.43,1.52
20:50 - 21:00,1.35,1.32,1.37
21:00 - 21:10,1.71,1.73,1.68
21:10 - 21:20,1.50,1.36,1.64
21:20 - 21:30,2.05,1.57,2.55
21:30 - 21:40,2.67,2.19,3.18
21:40 - 21:50,2.98,2.38,3.62
21:50 - 22:00,2.99,2.40,3.61
22:00 - 22:10,3.05,2.40,3.72
22:10 - 22:20,3.20,2.60,3.83
22:20 - 22:30,3.05,2.45,3.67
22:30 - 22:40,1.22,1.11,1.34
22:40 - 22:50,1.16,1.11,1.22
22:50 - 23:00,0.89,0.79,0.98
