18:00 - 18:10,2.23,2.00,2.46
18:10 - 18:20,2.58,2.16,3.01
18:20 - 18:30,3.63,2.86,4.44
18:30 - 18:40,6.37,5.39,7.39
18:40 - 18:50,7.05,6.38,7.74
18:50 - 19:00,7.17,6.19,8.21
19:00 - 19:10,6.97,6.22,7.75
19:10 - 19:20,4.37,4.11,4.64
19:20 - 19:30,4.16,4.10,4.23
19:30 - 19:40,4.28,3.96,4.62
19:40 - 19:50,4.86,4.59,5.15
19:50 - 20:00,6.05,5.61,6.52
20:00 - 20:10,4.72,4.40,5.06
20:10 - 20:20,3.94,3.17,4.75
20:20 - 20:30,3.79,3.15,4.46
20:30 - 20:40,3.20,2.53,3.91
20:40 - 20:50,3.48,2.96,4.02
20:50 - 21:00,3.44,2.98,3.91
21:00 - 21:10,2.42,1.84,3.04
21:10 - 21:20,1.63,1.63,1.64
21:20 - 21:30,1.42,1.65,1.18
21:30 - 21:40,1.16,0.98,1.35
21:40 - 21:50,1.20,1.07,1.32
21:50 - 22:00,1.50,1.46,1.55
22:00 - 22:10,1.38,1.24,1.53
22:10 - 22:20,1.29,1.16,1.41
22:20 - 22:30,1.16,1.12,1.19
22:30 - 22:40,1.30,1.33,1.27
22:40 - 22:50,1.15,1.14,1.15
22:50 - 23:00,0.44,0.34,0.55
