,收视率%,,
时间段,四岁以上所有人,男,女
18:00 - 18:10,2.3,2.2,2.4
18:10 - 18:20,2.5,2.5,2.5
18:20 - 18:30,2.6,2.7,2.5
18:30 - 18:40,1.2,1.3,1.1
18:40 - 18:50,0.5,0.6,0.3
18:50 - 19:00,0.4,0.6,0.3
19:00 - 19:10,0.5,0.7,0.3
19:10 - 19:20,0.4,0.5,0.3
19:20 - 19:30,0.3,0.4,0.2
19:30 - 19:40,0.3,0.3,0.3
19:40 - 19:50,0.4,0.4,0.3
19:50 - 20:00,0.4,0.4,0.3
20:00 - 20:10,0.7,0.8,0.6
20:10 - 20:20,1.1,1.2,1.0
20:20 - 20:30,1.3,1.4,1.2
20:30 - 20:40,1.4,1.4,1.3
20:40 - 20:50,1.0,1.0,1.1
20:50 - 21:00,0.6,0.6,0.5
21:00 - 21:10,0.6,0.9,0.3
21:10 - 21:20,0.5,0.7,0.2
21:20 - 21:30,0.7,0.8,0.5
21:30 - 21:40,0.5,0.6,0.5
21:40 - 21:50,0.4,0.4,0.4
21:50 - 22:00,0.4,0.4,0.4
22:00 - 22:10,0.3,0.2,0.4
22:10 - 22:20,0.3,0.3,0.4
22:20 - 22:30,0.3,0.3,0.4
22:30 - 22:40,0.5,0.6,0.5
22:40 - 22:50,0.6,0.7,0.5
22:50 - 23:00,0.7,0.7,0.6
23:00 - 23:10,0.4,0.5,0.3
23:10 - 23:20,0.3,0.3,0.2
23:20 - 23:30,0.2,0.3,0.1
23:30 - 23:40,0.1,0.2,0.1
23:40 - 23:50,0.2,0.2,0.1
23:50 - 24:00,0.1,0.2,0.1
