18:00 - 18:10,0.29,0.24,0.34
18:10 - 18:20,0.19,0.09,0.29
18:20 - 18:30,0.21,0.15,0.27
18:30 - 18:40,0.50,0.29,0.72
18:40 - 18:50,0.37,0.26,0.49
18:50 - 19:00,0.27,0.20,0.34
19:00 - 19:10,0.24,0.16,0.31
19:10 - 19:20,0.31,0.19,0.43
19:20 - 19:30,0.47,0.29,0.66
19:30 - 19:40,0.55,0.13,0.98
19:40 - 19:50,0.50,0.15,0.87
19:50 - 20:00,0.50,0.31,0.70
20:00 - 20:10,0.21,0.11,0.31
20:10 - 20:20,0.20,0.09,0.31
20:20 - 20:30,0.22,0.13,0.32
20:30 - 20:40,0.10,0.00,0.21
20:40 - 20:50,0.07,0.00,0.14
20:50 - 21:00,0.08,0.02,0.15
21:00 - 21:10,0.15,0.13,0.18
21:10 - 21:20,0.08,0.06,0.10
21:20 - 21:30,0.04,0.05,0.03
21:30 - 21:40,0.00,0.00,0.00
21:40 - 21:50,0.00,0.00,0.00
21:50 - 22:00,0.00,0.00,0.00
22:00 - 22:10,0.00,0.00,0.00
22:10 - 22:20,0.00,0.00,0.00
22:20 - 22:30,0.02,0.03,0.02
22:30 - 22:40,0.06,0.00,0.12
22:40 - 22:50,0.00,0.00,0.00
22:50 - 23:00,0.02,0.02,0.02
