18:00 - 18:10,0.19,0.23,0.15
18:10 - 18:20,0.17,0.18,0.16
18:20 - 18:30,0.25,0.26,0.24
18:30 - 18:40,0.28,0.30,0.27
18:40 - 18:50,0.27,0.27,0.28
18:50 - 19:00,0.34,0.22,0.46
19:00 - 19:10,0.47,0.41,0.53
19:10 - 19:20,0.41,0.37,0.45
19:20 - 19:30,0.48,0.43,0.52
19:30 - 19:40,0.49,0.42,0.57
19:40 - 19:50,0.45,0.36,0.54
19:50 - 20:00,0.45,0.39,0.52
20:00 - 20:10,0.24,0.23,0.25
20:10 - 20:20,0.28,0.28,0.27
20:20 - 20:30,0.28,0.28,0.28
20:30 - 20:40,0.29,0.31,0.27
20:40 - 20:50,0.27,0.25,0.28
20:50 - 21:00,0.24,0.22,0.27
21:00 - 21:10,0.20,0.20,0.21
21:10 - 21:20,0.12,0.14,0.10
21:20 - 21:30,0.13,0.14,0.11
21:30 - 21:40,0.21,0.29,0.13
21:40 - 21:50,0.18,0.27,0.09
21:50 - 22:00,0.14,0.20,0.07
22:00 - 22:10,0.07,0.09,0.05
22:10 - 22:20,0.05,0.02,0.09
22:20 - 22:30,0.05,0.01,0.09
22:30 - 22:40,0.04,0.01,0.07
22:40 - 22:50,0.00,0.00,0.00
22:50 - 23:00,0.00,0.00,0.00
