18:00 - 18:10,0.18,0.36,0.00
18:10 - 18:20,0.10,0.17,0.03
18:20 - 18:30,0.15,0.26,0.05
18:30 - 18:40,0.07,0.13,0.00
18:40 - 18:50,0.09,0.15,0.02
18:50 - 19:00,0.14,0.16,0.11
19:00 - 19:10,0.05,0.08,0.01
19:10 - 19:20,0.27,0.16,0.38
19:20 - 19:30,0.23,0.20,0.26
19:30 - 19:40,0.17,0.24,0.10
19:40 - 19:50,0.29,0.35,0.22
19:50 - 20:00,0.38,0.64,0.11
20:00 - 20:10,0.37,0.62,0.12
20:10 - 20:20,0.51,0.85,0.15
20:20 - 20:30,0.82,1.12,0.50
20:30 - 20:40,0.83,1.25,0.40
20:40 - 20:50,1.79,2.03,1.54
20:50 - 21:00,1.30,1.55,1.03
21:00 - 21:10,0.45,0.68,0.22
21:10 - 21:20,0.32,0.56,0.07
21:20 - 21:30,0.29,0.51,0.07
21:30 - 21:40,0.25,0.50,0.00
21:40 - 21:50,0.38,0.65,0.09
21:50 - 22:00,0.25,0.48,0.01
22:00 - 22:10,0.34,0.64,0.03
22:10 - 22:20,0.36,0.63,0.08
22:20 - 22:30,0.34,0.62,0.04
22:30 - 22:40,0.28,0.54,0.00
22:40 - 22:50,0.42,0.72,0.10
22:50 - 23:00,0.32,0.58,0.04
