18:00 - 18:10,0.61,0.57,0.65
18:10 - 18:20,0.53,0.53,0.53
18:20 - 18:30,0.72,0.57,0.86
18:30 - 18:40,0.41,0.36,0.46
18:40 - 18:50,0.36,0.36,0.36
18:50 - 19:00,0.36,0.36,0.36
19:00 - 19:10,0.37,0.38,0.36
19:10 - 19:20,0.41,0.43,0.39
19:20 - 19:30,0.45,0.41,0.49
19:30 - 19:40,0.37,0.36,0.37
19:40 - 19:50,0.36,0.36,0.36
19:50 - 20:00,0.40,0.45,0.36
20:00 - 20:10,0.42,0.49,0.36
20:10 - 20:20,0.45,0.52,0.38
20:20 - 20:30,0.54,0.55,0.54
20:30 - 20:40,0.46,0.45,0.47
20:40 - 20:50,0.50,0.56,0.43
20:50 - 21:00,0.37,0.36,0.37
21:00 - 21:10,0.37,0.23,0.52
21:10 - 21:20,0.65,0.45,0.86
21:20 - 21:30,0.48,0.34,0.63
21:30 - 21:40,0.95,0.80,1.11
21:40 - 21:50,1.29,1.08,1.51
21:50 - 22:00,0.91,0.78,1.05
22:00 - 22:10,0.40,0.40,0.41
22:10 - 22:20,0.03,0.03,0.03
22:20 - 22:30,0.00,0.00,0.00
22:30 - 22:40,0.05,0.09,0.02
22:40 - 22:50,0.06,0.09,0.02
22:50 - 23:00,0.08,0.08,0.08
