18:00 - 18:10,0.47,0.41,0.53
18:10 - 18:20,0.49,0.34,0.65
18:20 - 18:30,0.80,0.66,0.93
18:30 - 18:40,1.00,0.82,1.19
18:40 - 18:50,0.86,0.70,1.02
18:50 - 19:00,1.01,0.87,1.17
19:00 - 19:10,2.42,1.80,3.05
19:10 - 19:20,4.67,3.72,5.67
19:20 - 19:30,4.95,4.01,5.93
19:30 - 19:40,4.94,4.19,5.73
19:40 - 19:50,4.37,3.62,5.14
19:50 - 20:00,3.87,3.34,4.43
20:00 - 20:10,5.00,4.01,6.05
20:10 - 20:20,6.08,5.05,7.15
20:20 - 20:30,6.75,5.49,8.08
20:30 - 20:40,6.43,5.00,7.93
20:40 - 20:50,4.40,3.24,5.61
20:50 - 21:00,5.41,3.96,6.92
21:00 - 21:10,6.11,4.31,7.99
21:10 - 21:20,7.55,5.69,9.49
21:20 - 21:30,6.73,5.29,8.24
21:30 - 21:40,5.70,4.41,7.05
21:40 - 21:50,2.27,1.60,2.97
21:50 - 22:00,1.73,1.21,2.27
22:00 - 22:10,1.87,1.26,2.51
22:10 - 22:20,1.76,1.17,2.38
22:20 - 22:30,1.61,1.13,2.11
22:30 - 22:40,1.31,0.98,1.65
22:40 - 22:50,1.29,1.03,1.57
22:50 - 23:00,1.36,1.05,1.69
