18:00 - 18:10,1.33,0.95,1.72
18:10 - 18:20,1.09,0.65,1.54
18:20 - 18:30,1.24,0.71,1.78
18:30 - 18:40,0.84,0.53,1.16
18:40 - 18:50,1.03,0.52,1.57
18:50 - 19:00,1.11,0.88,1.36
19:00 - 19:10,1.84,1.34,2.36
19:10 - 19:20,6.50,4.59,8.48
19:20 - 19:30,7.02,4.83,9.29
19:30 - 19:40,6.98,4.65,9.42
19:40 - 19:50,5.00,3.19,6.88
19:50 - 20:00,5.28,3.59,7.05
20:00 - 20:10,7.72,4.81,10.75
20:10 - 20:20,8.16,4.86,11.58
20:20 - 20:30,7.90,4.97,10.94
20:30 - 20:40,5.97,3.66,8.37
20:40 - 20:50,6.94,4.60,9.37
20:50 - 21:00,7.94,5.32,10.66
21:00 - 21:10,8.96,6.12,11.90
21:10 - 21:20,8.55,5.97,11.22
21:20 - 21:30,4.20,2.86,5.60
21:30 - 21:40,2.33,1.84,2.84
21:40 - 21:50,1.74,1.70,1.78
21:50 - 22:00,1.90,1.78,2.02
22:00 - 22:10,1.93,1.73,2.14
22:10 - 22:20,1.77,1.43,2.12
22:20 - 22:30,1.79,1.44,2.16
22:30 - 22:40,2.13,1.80,2.46
22:40 - 22:50,2.18,1.76,2.61
22:50 - 23:00,2.10,1.87,2.34
