18:00 - 18:10,0.98,1.43,0.51
18:10 - 18:20,1.23,1.85,0.59
18:20 - 18:30,0.89,1.35,0.42
18:30 - 18:40,0.42,0.53,0.30
18:40 - 18:50,0.22,0.15,0.29
18:50 - 19:00,0.62,0.60,0.65
19:00 - 19:10,1.90,2.26,1.53
19:10 - 19:20,1.37,1.55,1.18
19:20 - 19:30,1.06,1.01,1.12
19:30 - 19:40,0.52,0.72,0.32
19:40 - 19:50,0.63,1.04,0.21
19:50 - 20:00,0.66,0.98,0.32
20:00 - 20:10,0.68,0.95,0.39
20:10 - 20:20,0.98,1.40,0.55
20:20 - 20:30,1.85,2.55,1.13
20:30 - 20:40,1.28,1.81,0.72
20:40 - 20:50,0.37,0.63,0.10
20:50 - 21:00,0.44,0.78,0.08
21:00 - 21:10,0.67,1.09,0.24
21:10 - 21:20,0.69,1.12,0.25
21:20 - 21:30,0.90,1.43,0.36
21:30 - 21:40,0.62,1.06,0.17
21:40 - 21:50,0.39,0.69,0.08
21:50 - 22:00,0.43,0.68,0.17
22:00 - 22:10,0.65,1.03,0.24
22:10 - 22:20,0.77,1.23,0.28
22:20 - 22:30,0.70,1.17,0.20
22:30 - 22:40,0.78,1.27,0.28
22:40 - 22:50,0.44,0.86,0.00
22:50 - 23:00,0.44,0.86,0.00
