18:00 - 18:10,0.70,0.69,0.70
18:10 - 18:20,0.67,0.79,0.55
18:20 - 18:30,0.64,0.71,0.56
18:30 - 18:40,0.35,0.33,0.37
18:40 - 18:50,0.35,0.34,0.35
18:50 - 19:00,0.33,0.38,0.27
19:00 - 19:10,0.71,0.73,0.70
19:10 - 19:20,0.67,0.63,0.71
19:20 - 19:30,0.97,0.44,1.52
19:30 - 19:40,1.16,0.81,1.53
19:40 - 19:50,1.52,1.05,2.00
19:50 - 20:00,0.93,0.71,1.16
20:00 - 20:10,0.88,0.83,0.93
20:10 - 20:20,1.24,1.19,1.29
20:20 - 20:30,1.29,1.10,1.50
20:30 - 20:40,2.51,1.72,3.33
20:40 - 20:50,2.02,1.30,2.78
20:50 - 21:00,1.84,1.15,2.57
21:00 - 21:10,0.83,0.58,1.09
21:10 - 21:20,0.84,0.51,1.19
21:20 - 21:30,0.95,0.52,1.41
21:30 - 21:40,1.02,0.42,1.64
21:40 - 21:50,1.14,0.77,1.52
21:50 - 22:00,1.06,0.68,1.46
22:00 - 22:10,1.06,1.03,1.10
22:10 - 22:20,0.92,1.15,0.68
22:20 - 22:30,1.05,1.16,0.94
22:30 - 22:40,0.90,0.84,0.95
22:40 - 22:50,1.31,1.29,1.34
22:50 - 23:00,0.82,0.56,1.09
