18:00 - 18:10,5.72,5.79,5.66
18:10 - 18:20,7.07,7.15,6.97
18:20 - 18:30,6.77,6.77,6.76
18:30 - 18:40,7.66,7.92,7.39
18:40 - 18:50,8.76,9.07,8.44
18:50 - 19:00,10.45,10.67,10.22
19:00 - 19:10,8.80,8.90,8.69
19:10 - 19:20,6.74,6.62,6.86
19:20 - 19:30,6.92,6.86,6.97
19:30 - 19:40,6.23,6.25,6.21
19:40 - 19:50,4.82,4.87,4.77
19:50 - 20:00,5.73,5.94,5.52
20:00 - 20:10,5.52,5.79,5.24
20:10 - 20:20,5.66,5.90,5.42
20:20 - 20:30,4.67,4.69,4.65
20:30 - 20:40,4.15,3.92,4.38
20:40 - 20:50,5.66,5.73,5.60
20:50 - 21:00,5.98,6.32,5.63
21:00 - 21:10,5.81,6.23,5.37
21:10 - 21:20,5.69,6.05,5.32
21:20 - 21:30,2.97,2.86,3.08
21:30 - 21:40,2.92,2.68,3.16
21:40 - 21:50,3.28,3.03,3.54
21:50 - 22:00,4.00,3.70,4.31
22:00 - 22:10,3.90,3.92,3.88
22:10 - 22:20,2.69,2.59,2.79
22:20 - 22:30,2.01,1.89,2.14
22:30 - 22:40,1.13,0.92,1.35
22:40 - 22:50,0.60,0.50,0.69
22:50 - 23:00,0.38,0.36,0.40
