18:00 - 18:10,0.60,0.82,0.36
18:10 - 18:20,0.09,0.16,0.02
18:20 - 18:30,0.17,0.33,0.00
18:30 - 18:40,0.13,0.26,0.00
18:40 - 18:50,0.14,0.28,0.00
18:50 - 19:00,0.23,0.31,0.15
19:00 - 19:10,0.23,0.23,0.23
19:10 - 19:20,0.45,0.30,0.60
19:20 - 19:30,0.46,0.41,0.52
19:30 - 19:40,0.67,0.76,0.57
19:40 - 19:50,0.85,1.22,0.46
19:50 - 20:00,0.93,1.16,0.69
20:00 - 20:10,1.24,1.59,0.87
20:10 - 20:20,1.52,1.96,1.07
20:20 - 20:30,1.37,1.64,1.08
20:30 - 20:40,1.26,1.43,1.09
20:40 - 20:50,1.26,1.46,1.04
20:50 - 21:00,1.51,1.98,1.03
21:00 - 21:10,1.37,1.90,0.81
21:10 - 21:20,1.09,1.52,0.64
21:20 - 21:30,0.99,1.19,0.79
21:30 - 21:40,0.93,1.26,0.58
21:40 - 21:50,0.79,1.02,0.54
21:50 - 22:00,0.82,1.22,0.40
22:00 - 22:10,0.20,0.39,0.00
22:10 - 22:20,0.40,0.72,0.06
22:20 - 22:30,0.53,0.84,0.21
22:30 - 22:40,0.53,0.83,0.22
22:40 - 22:50,0.57,0.83,0.30
22:50 - 23:00,0.41,0.57,0.23
