18:00 - 18:10,0.43,0.58,0.29
18:10 - 18:20,0.50,0.64,0.35
18:20 - 18:30,0.38,0.45,0.30
18:30 - 18:40,0.17,0.16,0.18
18:40 - 18:50,0.16,0.21,0.10
18:50 - 19:00,0.11,0.17,0.05
19:00 - 19:10,0.22,0.32,0.12
19:10 - 19:20,0.21,0.26,0.16
19:20 - 19:30,0.28,0.43,0.11
19:30 - 19:40,0.35,0.42,0.28
19:40 - 19:50,1.03,1.05,1.00
19:50 - 20:00,1.14,1.20,1.07
20:00 - 20:10,0.52,0.60,0.43
20:10 - 20:20,0.53,0.62,0.44
20:20 - 20:30,0.54,0.63,0.45
20:30 - 20:40,0.42,0.52,0.32
20:40 - 20:50,0.44,0.57,0.31
20:50 - 21:00,0.39,0.49,0.28
21:00 - 21:10,0.62,0.81,0.42
21:10 - 21:20,0.80,0.95,0.64
21:20 - 21:30,0.77,0.85,0.69
21:30 - 21:40,0.71,0.84,0.58
21:40 - 21:50,0.82,0.93,0.70
21:50 - 22:00,0.85,0.93,0.77
22:00 - 22:10,0.40,0.49,0.31
22:10 - 22:20,0.51,0.70,0.30
22:20 - 22:30,0.65,0.92,0.36
22:30 - 22:40,0.58,0.76,0.40
22:40 - 22:50,0.53,0.64,0.43
22:50 - 23:00,0.52,0.63,0.40
