18:00 - 18:10,0.61,0.72,0.48
18:10 - 18:20,0.63,0.74,0.53
18:20 - 18:30,0.78,0.85,0.69
18:30 - 18:40,0.69,0.77,0.60
18:40 - 18:50,0.79,0.86,0.72
18:50 - 19:00,0.65,0.68,0.62
19:00 - 19:10,1.70,1.34,2.06
19:10 - 19:20,4.65,3.50,5.86
19:20 - 19:30,5.42,3.98,6.93
19:30 - 19:40,5.81,4.25,7.44
19:40 - 19:50,4.57,3.34,5.85
19:50 - 20:00,5.34,3.76,6.99
20:00 - 20:10,6.73,4.88,8.67
20:10 - 20:20,6.88,4.91,8.94
20:20 - 20:30,7.12,5.16,9.16
20:30 - 20:40,4.60,3.35,5.92
20:40 - 20:50,5.16,3.54,6.86
20:50 - 21:00,5.89,4.14,7.71
21:00 - 21:10,6.72,4.80,8.73
21:10 - 21:20,6.95,4.79,9.20
21:20 - 21:30,3.61,2.59,4.67
21:30 - 21:40,1.84,1.40,2.30
21:40 - 21:50,1.73,1.27,2.21
21:50 - 22:00,1.93,1.45,2.43
22:00 - 22:10,2.10,1.74,2.47
22:10 - 22:20,1.83,1.45,2.23
22:20 - 22:30,1.41,1.23,1.59
22:30 - 22:40,1.71,1.54,1.89
22:40 - 22:50,1.84,1.70,1.98
22:50 - 23:00,1.82,1.68,1.97
