18:00 - 18:10,0.64,0.44,0.85
18:10 - 18:20,0.45,0.28,0.63
18:20 - 18:30,0.42,0.25,0.59
18:30 - 18:40,0.56,0.35,0.77
18:40 - 18:50,0.73,0.62,0.84
18:50 - 19:00,0.90,0.76,1.05
19:00 - 19:10,0.32,0.35,0.29
19:10 - 19:20,0.78,0.53,1.04
19:20 - 19:30,1.03,0.88,1.18
19:30 - 19:40,1.22,0.94,1.51
19:40 - 19:50,1.43,1.04,1.83
19:50 - 20:00,0.76,0.60,0.93
20:00 - 20:10,0.27,0.15,0.39
20:10 - 20:20,0.53,0.31,0.76
20:20 - 20:30,1.04,1.18,0.89
20:30 - 20:40,1.03,1.13,0.92
20:40 - 20:50,1.74,1.69,1.80
20:50 - 21:00,1.75,1.56,1.94
21:00 - 21:10,1.44,1.19,1.71
21:10 - 21:20,2.02,2.07,1.98
21:20 - 21:30,1.73,1.87,1.58
21:30 - 21:40,1.88,1.90,1.85
21:40 - 21:50,1.99,1.85,2.14
21:50 - 22:00,1.06,0.98,1.14
22:00 - 22:10,0.56,0.45,0.68
22:10 - 22:20,0.74,0.62,0.86
22:20 - 22:30,0.83,0.53,1.15
22:30 - 22:40,0.65,0.40,0.90
22:40 - 22:50,0.62,0.40,0.85
22:50 - 23:00,0.36,0.03,0.70
