18:00 - 18:10,0.76,1.15,0.35
18:10 - 18:20,1.00,1.52,0.47
18:20 - 18:30,0.85,1.30,0.38
18:30 - 18:40,0.32,0.53,0.10
18:40 - 18:50,0.20,0.32,0.07
18:50 - 19:00,0.27,0.39,0.14
19:00 - 19:10,1.14,1.48,0.79
19:10 - 19:20,1.26,1.75,0.74
19:20 - 19:30,1.17,1.64,0.67
19:30 - 19:40,0.93,1.47,0.36
19:40 - 19:50,0.69,1.07,0.28
19:50 - 20:00,0.66,0.91,0.40
20:00 - 20:10,0.39,0.51,0.27
20:10 - 20:20,0.44,0.64,0.24
20:20 - 20:30,0.63,0.81,0.43
20:30 - 20:40,0.62,0.90,0.34
20:40 - 20:50,0.41,0.58,0.24
20:50 - 21:00,0.39,0.54,0.23
21:00 - 21:10,0.36,0.50,0.21
21:10 - 21:20,0.54,0.66,0.40
21:20 - 21:30,0.72,0.99,0.44
21:30 - 21:40,0.60,0.89,0.29
21:40 - 21:50,0.67,0.95,0.38
21:50 - 22:00,0.33,0.39,0.27
22:00 - 22:10,0.62,0.81,0.42
22:10 - 22:20,0.67,0.92,0.41
22:20 - 22:30,0.51,0.80,0.20
22:30 - 22:40,0.42,0.59,0.26
22:40 - 22:50,0.35,0.54,0.14
22:50 - 23:00,0.33,0.50,0.15
