18:00 - 18:15,5.3,5.1,5.6
18:15 - 18:30,6.3,5.9,6.7
18:30 - 18:45,8.4,8.8,8.0
18:45 - 19:00,10.8,11.4,10.1
19:00 - 19:15,8.8,8.9,8.7
19:15 - 19:30,7.7,8.0,7.3
19:30 - 19:45,6.4,6.4,6.5
19:45 - 20:00,4.7,4.4,5.0
20:00 - 20:15,5.0,5.0,5.1
20:15 - 20:30,5.0,5.0,4.9
20:30 - 20:45,3.5,3.4,3.6
20:45 - 21:00,5.2,5.2,5.3
21:00 - 21:15,5.0,4.9,5.2
21:15 - 21:30,4.1,3.9,4.3
21:30 - 21:45,2.8,2.9,2.7
21:45 - 22:00,2.8,3.1,2.6
22:00 - 22:15,2.8,3.0,2.6
22:15 - 22:30,1.8,1.9,1.7
22:30 - 22:45,0.7,0.7,0.8
22:45 - 23:00,0.8,0.7,0.9
23:00 - 23:15,0.7,0.6,0.8
23:15 - 23:30,0.5,0.4,0.6
23:30 - 23:45,0.5,0.4,0.6
23:45 - 24:00,0.5,0.5,0.6
